LocaleValue	en-US	zh-CN	zh-TW					
ShoppingBagPageEarnPoints	Earn {point} Points	获得55积分	獲得55積分					
ShoppingBagPageUseVoucherorEnterCode	Use voucher or Enter Code	使用优惠券或输入代码	使用優惠券或輸入代碼					
ShoppingBagPageDeleteitems	Delete {item.count} items?	删除一个项目？	刪除一個項目？					
ShoppingBagPageDeleteButton	Yes, delete	是，删除	是，刪除					
ShoppingDiscount	Discount	折扣	折扣					
								
VoucherInfoNotApplicable	Not Applicable	不适用	不適用					
VoucherInfoDiscount	22% Off Master Liew's Item	Liew老师商品折扣20%	Liew老師商品折扣20%					
VoucherInfoPoints	Earn {point} points	获得{point}积分	獲得{point}積分					
VoucherInfoApplicable	Applicable	适用	適用					
VoucherInfoMinPurc	Minimum purhcase {Currency}{Amount}	最低消费额为{Currency}{Amount}	最低消費額為{Currency}{Amount}					
VoucherInfoCode	{DiscountCode}	{DiscountCode}	{DiscountCode}					
VoucherInfoValidDescription	Voucher code is valid	优惠券代码正确	優惠券代碼正確					
VouhcerInfoFreeShipping	Free Shipping on item {itemname}	1234455商品免运费	1234455商品免運費					
								
CheckoutPageShipTo	Ship to:	运送至	運送至					
CheckoutPageChangeaddress	Change address	更换地址	更換地址					
CheckoutPageInfo	Billing address same with shipping address	开单地址与运送地址相同	開單地址與運送地址相同					
CheckoutPageEditAddress	Edit Address	编辑地址	編輯地址					
CheckoutPageItem	{item.count} items	2个货品	2個貨品					
CheckoutPageTotalPayment	Total payment {Amount}	消费总值	消費總值					
CheckoutPagePay	Pay Now	现在付款	現在付款					
								
PurchasePackageShoppingBagPageTitle	Fill in the Form	填写表格	填寫表格					
PurchasePackageShoppingBagPageDescription	You may also register for your love ones	您也可以为您的挚爱进行注册	您也可以為您的摯愛進行注冊					
PurchasePackageShoppingBagPageWishfor	Wish for...	心愿	心願					
PurchasePackageShoppingBagPageWishList	What do you want to wish for?(optional)	您想许什么愿？ （选择性）	您想許什麽愿？（選擇性）					
PurchasePackageShoppingBagPageNoshipping	No shipping needed	不须运送	不須運送					
								
PaymentPageChoosePaymentMethod	Choose Payment Method	选择付款方式	選擇付款方式					
PaymentPageCardMethod	Credit / Debit Card	信用卡/转账卡	信用卡/轉賬卡					
PaymentPageFPX	Online Banking FPX	网上银行	網上銀行					
PaymentPageStripe	Stripe	条码	條碼					
PaymentPageLinePay	Line Pay	Line移动支付	Line移動支付					
PaymentPageCardHolderName	Card holder name	持卡人姓名	持卡人姓名					
PaymentPageCardNumber	Card number	卡号	卡號					
PaymentPageCardExpirydate	Expiry date mm/yy	有效日期	有效日期					
PaymentPageSaveCard	Save this card to "My Payment Method"	将此卡储存成为我的付款方式	將此卡儲存成為我的付款方式					
PaymentPageCardDescription	By selecting this, your card details will be save for future payments	一旦选择此选项，您的信用卡/转账卡资料将自动被储存用以支付未来消费	一旦選擇此選項，您的信用卡/轉賬卡資料將自動被儲存用以支付未來消費					
PaymentPageProceedToPay	Proceed to Pay	准备付款	準備付款					
PaymentPagePaymentisSuccessful	Payment is successful	付费成功	付費成功					
PaymentPageOfficialReceipt	Official Receipt	官方单据	官方單據					
PaymentPageOrderID	Order ID	订单编号	訂單編號					
PaymentPagePlaceon	Place on	订购于	訂購於					
PaymentPagePaidon	Paid on	支付于	支付於					
PaymentPageShippingAddress	Shipping address	船运地址	船運地址					
PaymentPageBillingAddress	Billing address	邮寄地址	郵寄地址					
PaymentPageOrderSummary	Order Summary	订单汇总	訂單匯總					
PaymentPagePaidBy	Paid by	支付方	支付方					
PaymentPagePaymenMethod	{Payment Method}	{Payment Method}	{Payment Method}					
PaymentPagePaymentisNotSuccessful	Payment not successful	付费失败	付費失敗					
								
MyOrdersPage	My Orders	我的订单	我的訂單					
MyOrdersPagePaidnUnpaid	Order no {OrderNumber}, {Date Time}	订单编号 {OrderNumber}, {Date Time}	訂單編號 {OrderNumber}, {Date Time}					
MyOrdersPageAwaitingCollection	Awaiting Collection	等待领取	等待領取					
MyOrdersPageMakePayment	Make Payment	付款	付款					
MyOrdersPageTotal	Total:{Amount}	总额:{Amount}	總額:{Amount}					
MyOrdersPagePaymentUnsuccessful	Payment unsuccessful	付款失败	付款失敗					
								
OrderSummaryPageTrackPackage	Track Package	追查配套	追查配套					
OrderSummaryPageTrackmyPackage	Track my package	追查我的配套	追查我的配套					
OrderSummaryPageEstimateDeliveryDate	Estimated delivery date {start}_{end}	估计运抵日期 {start}_{end}	估計運抵日期 {start}_{end}					
OrderSummaryPagesTrackingLink	Here's the tracking link:	这是追查链结	這是追查鏈結					
OrderSummaryPagesItemIsReady	Item is ready	货品已备好	貨品已備好					
OrderSummaryPagesCollectNow	You may collect now	现在你可领取	現在你可領取					
OrderSummaryPages	Collect from {date} onwards	从{date} 开始接受领取	從{date} 開始接受領取					
OrderSummaryPagesCollectItem	Collect Item	领取货品	領取貨品					
OrderSummaryPagesSelfCollectAt	Self collect at:	在以下地方亲自领取	在以下地方親自領取					
OrderSummaryPagesCollectionPeriod	Collection period	领取时段	領取時段					
OrderSummaryPagesOpentime	Open	开门	開門					
OrderSummaryPagesClosetime	Close	关门	關門					
								
ContactHelpPagesTitle	We're here to help	我们会随时随地协助您	我們會隨時隨地協助您					
ContactHelpPagesDescription	Write to us!	告诉我们您的想法！	告訴我們您的想法！					
ContactHelpPages	Write us your message here...	请在这里写下您的意见	請在這裏寫下您的意見					
ContactHelpPagesButton	Submit	提交	提交					
ContactHelpInfoTitle	Sent	已发送	已發送					
ContactHelpInfoDescription	Thank you for helping us do better. We will reply to your email as soon as we could	感谢您让我们有机会表现更好。我们将尽速透过电邮回复您。	感謝您讓我們有機會表現更好。我們將盡速透過電郵回復您。					
								
ReviewAppPagesTitle	Enjoying our APP?	是否喜欢使用我们的APP？	是否喜歡使用我們的APP？					
ReviewAppPagesDescription	Tell us how much you love about the app? 	敬请评价以便知道您喜欢我们APP的哪个部分	敬請評價以便知道您喜歡我們APP的哪個部分					
ReviewAppPagesRateUs	Rate Us	请给予评级	請給予評級					
ReviewAppPagesMessage	Your message here... (optional)	您的意见（选择性）	您的意見（選擇性）					
ReviewOrderPageToReview	To Review	评价	評價					
ReviewOrderPageDelivered	Delivered	已运抵	已運抵					
ReviewOrderPageCompleted	Completed	付费完成	付費完成					
ReviewOrderInfoTitle	Thank you!	已运抵	已運抵					
ReviewOrderInfoDescription	Truly appreciate your time. Here's a 16% off for your next booking/purchase.	感谢您愿意拨出时间。这里附送15%折扣优惠以便下次订购或消费时可享用	感謝您願意撥出時間。這裏附送15%折扣優惠以便下次訂購或消費時可享用					
								
ProfilePage	ME	我	我					
ProfilePageAlert	We ask everyone for a few details before booking a service or host and event, for better experience	为了带来更好体验，在预订服务或主持活动之前，我们会询问每人某些相关资料	爲了帶來更好體驗，在預訂服務或主持活動之前，我們會詢問每人某些相關資料					
ProfilePageLocation	Where are you at?	你在什么地方？	你在什麽地方？					
ProfilePageActivities	Activities	活动	活動					
ProfilePageMyOrders	My Orders	我的订单	我的訂單					
ProfilePageTransactionHistory	Transaction History	交易记录	交易記錄					
ProfilePageAppointments	Appointments	预约	預約					
ProfilePageMyBazi	My Bazi	我的八字	我的八字					
ProfilePageTitle	Your Profile	您的档案	您的檔案					
ProfilePageDescriptions	Start your journey with MingLi360 for faster booking, live streaming promotions and more!	命理360账号可让您享有快速预定、线上直播优惠以及更多！	命理360賬號可讓您享有快速預定、綫上直播優惠以及更多！					
ProfilePageButton	Log Me In	让我登入	讓我登入					
ProfilePageCreateAccount	Create an account	注册新账号	注冊新賬號					
ProfilePageCreateAccountDescription	Start your journey with MingLi360 for faster booking, live streaming promotions and more!	命理360账号可让您享有快速预定、线上直播优惠以及更多！	命理360賬號可讓您享有快速預定、綫上直播優惠以及更多！					
ProfilePageContinuewithMobileNo	Continue with Mobile No.	用手机继续	用手機繼續					
ProfilePageContinuewithEmail	Continue with Email	用电邮继续	用電郵繼續					
ProfilePageIwishtoLogin	I wish to Log in	我想登入	我想登入					
ProfilePageMyLive	My Live	我的直播记录	我的直播記錄					
								
AddShippingPageTitle	Create new shipping address	创建新的船运地址	創建新的船運地址					
AddShippingPageAddress	Address's name (home/office/etc)	地名（住宅/办公室等）	地名（住宅/辦公室等）					
AddShippingPageReceiver	Receiver's name	收货人姓名	收貨人姓名					
AddShippingPageLocation	Apartment/Company/Shop Name (optional)	公寓/公司/门市名字（选择性）	公寓/公司/門市名字（選擇性）					
AddShippingPageAddress1	Address(Line 1)	地址（第二行）	地址（第二行）					
AddShippingPageAddress2	Address(Line 2)	地址（第二行）	地址（第二行）					
AddShippingPagePostcode	Postcode	邮区编号	郵區編號					
AddShippingPageCity	City/Town	城市/城镇	城市/城鎮					
AddShippingPageState	State	州属	州屬					
AddShippingPageCountry	Country	国家	國家					
								
CompleteProfileStep1Page	Complete Profile	填完个人资料	填完個人資料					
CompleteProfileStep1PageTitle1	What's left	遗漏部分	遺漏部分					
CompleteProfileStep1PageDescription1	Describe yourself	自我介绍	自我介紹					
CompleteProfileStep1PageDescription2	Add shipping details	加入船运资料	加入船運資料					
CompleteProfileStep1PageDescription3	Add payment method	加入付款方式	加入付款方式					
CompleteProfileStep1PageTitle2	Already completed	已完成	已完成					
CompleteProfileStep1PageSignUp	Sign Up	注册	注冊					
								
CompleteProfileStep2PageTitle	I'm interested in..	我感兴趣的是...	我感興趣的是...					
CompleteProfileStep2PageDescription	Help us know more about you	让我们了解您更多	讓我們瞭解您更多					
CompleteProfileStep2PageCategoryName	Category Name	品相类型名字	品相類型名字					
CompleteProfileStep2PageButton	Choose at least three interest to proceed	选择是少三项兴趣以进入下一步	選擇是少三項興趣以進入下一步					
								
CompleteProfileStep3PageTitle	Now, complete your basic info	现在，请完成您的基本个人资料	現在，請完成您的基本個人資料					
CompleteProfileStep3PageDescription	* these field are mandatory	* 必须填写	* 必須填寫					
CompleteProfileStep3Gender	Share us your gender type	告诉我们您的性别	告訴我們您的性別					
CompleteProfileStep3ProfilePicture	Lastly, a profile pciture	最后，请上传头像	最後，請上傳頭像					
								
AddAddressPageNoAddressTitle	Uh-oh seems like you haven't have any address yet	不好意思！您还未填写地址	不好意思！您還未填寫地址					
AddAddressPageMyAddresses	My Addresses	我的地址	我的地址					
								
CreateNewShippingAddressPage	Create new billing address	创建新的开单地址	創建新的開單地址					
								
BillingAddressPage	Choose your preferred billing address	选择您要的开单地址	選擇您要的開單地址					
BillingAddressPageManage	Manage My Address	管理我的地址	管理我的地址					
								
OfficialReceiptPage	Your payment has not been change	你还没被收取费用	你還沒被收取費用					
								
MySavedPage	Opps... it's empty here	不好意思，这里出现空白处	不好意思，這裏出現空白處					
MySavedPageBrowseButton	Browse Now	现在浏览	現在瀏覽					
MySavedPageChooseVarientButton	Choose Varient	选择类型	選擇類型					
MySavedPageRegisteredButton	Registered	已登记	已登記					
								
LivePageViewers	{cnt} {cnt>1?:"viewers":"viewer"}	{cnt} 观众	{cnt} 觀衆					
LivePageEnterMessage	Say Something	输入讯息	輸入訊息					
LivePageSeePackageButton	See Package	查看配套	查看配套					
LivePageExitBroadcastButton	Exit Broadcast	离开直播	離開直播					
LivePageEndVideo	End Video	结束视频	結束視頻					
LivePageAbout	About the Blessing	关于祈福	關於祈福					
LivePageCreateLink	Create link	创建链接	創建鏈接					
LivePageSharedAlbum	Shared album	分享相簿	分享相簿					
LivePageDirect	Direct	转发	轉發					
LivePageViewBlessingPackages	View Blessing Packages	浏览祈福配套	瀏覽祈福配套					
								
LiveInfoEnded	Live session has ended	直播已结束	直播已結束					
LiveInfoThankyou	Thank you for watching	谢谢观看	謝謝觀看					
								
AddProductInfoPageChooseColor	Choose color	选择颜色	選擇顔色					
AddProductInfoPageChooseTypeofLocket	Choose type of locket	选择小盒类型	選擇小盒類型					
								
NotificationUndo	Undo	撤销	撤銷					
NotificationItemDeleted	Item deleted	已删除货品	已刪除貨品					
NotificationAddedtoBag	Added to Bag	加入购物车	加入購物車					
								
CommonSendButton	Send	发送	發送					
CommonAddtoBag	Add to Bag	加入购物车	加入購物車					
CommonBag	Bag	购物车	購物車					
CommonEvents	Events	活动	活動					
CommonBlessingnEvents	Blessing / Events	祈福/活动	祈福/活動					
CommonTravel	Travel	旅行	旅行					
CommonItems	Items	货品	貨品					
CommonDonation	Donation	布施	佈施					
CommonComplete	Complete	已完成	已完成					
CommonEdit	Edit	编辑	編輯					
CommonDefault	Default	默认	默認					
CommonDateofBirth	Date of Birth(dd/mm/yy)	出生日期	出生日期					
CommonTimeofBirth	Time of Birth	出生时间	出生時間					
CommonDone	Done	完成	完成					
CommonMyBazi	My Bazi	我的八字	我的八字					
CommonSave	Save	储存	儲存					
CommonAllAbove	All above	以上全部	以上全部					
CommonSeeDetails	See details	查看具体信息	查看具體信息					
CommonAll	All	全部	全部					
CommonSeeAll	See all	阅读全部	閲讀全部					
CommonShop	Shop	商城	商城					
CommonServices	Services	服务	服务					
CommonTrending	Trending	热搜中	熱搜中					
CommonCategory	Category	品项分类	品項分類					
CommonPriceRange	Price range	价钱范围	價錢範圍					
CommonReset	Reset	重设	重設					
CommonApply	Apply	申请	申請					
CommonReadMore	Read more	阅读更多	閲讀更多					
CommonHere	Here	这里	這裡					
CommonLearnMore	Learn more	查阅更多	查阅更多					
CommonSize	Size	尺寸	尺寸					
CommonColor	Color	颜色	顏色					
CommonType	Type	类型	類型					
CommonShippingFee	Shipping Fee	运费	運費					
CommonDiscount	Discount	折扣	折扣					
CommonCheckout	Checkout	结账	結賬					
CommonSubtotal	Subtotal	小结	小結					
CommonNext	Next	下一步	下一步					
CommonPayNow	Pay Now	现在付款	現在付款					
CommonTotal	Total	总额	總額					
CommonGetHelp	Get Help	协助	協助					
CommonSubmit	Submit	递交	遞交					
CommonEmailAddress	Email address	电邮	電郵					
LoginPhoneNumber	Phone number *	电话号码 *	電話號碼 *					
CommonPassword	Set a log in password *	设置登入密码 *	設置登入密碼 *					
CommonRe_password	Re-type password	再度输入密码	再度輸入密碼					
CommonCountryCode	Country code *	国家代码 *	國家代碼 *					
CommonFullName	Full name	我的订单	我的訂單					
CommonMyOrders	My Orders	我的订单	我的訂單					
CommonTransactionHistory	Transaction History	交易记录	交易記錄					
CommonAppointments	Appointments	预约	預約					
CommonAddress	Address	地址	地址					
CommonPaymentsandPayouts	Payments and payouts	付费和款项	付費和款項					
CommonInbox	Inbox	私讯信箱	私訊信箱					
CommonMySaved	My Saved	我的储存项目	我的儲存項目					
CommonPersonalInformation	Personal Information	个人资料	個人資料					
CommonAccountSettings	Account Settings	帐号设定	帳號設定					
CommonLive	Live	直播	直播					
CommonShare	Share	分享	分享					
CommonConfirmation	Confirmation	确认	確認					
CommonCancel	Cancel	取消	取消					
ChangeLanguage	Change Language	切换语言	切換語言					
EmptyBag	Your bag is empty	您的包是空的	您的包是空的					
EmptyInbox	Your inbox is empty	您的收件箱為空	您的收件箱爲空					
AddToBagSuccessMsg01	Added	已添加	已添加					
AddToBagSuccessMsg02	item(s) to cart	样物品進入購物車	樣物品進入購物車					
AddToBagFailMsg	Error! Must choose a variant	请先选择款式	請先選擇款式					
EmptyVariantMsg	No available variant	暂无款式可选	暫無款式可選					
ShippingInformation	Shipping Information	船运	船運					
CommonFirstName	First Name	名字	名字					
CommonLastName	Last Name	姓	姓					
CommonPhoneNumber	Phone Number	电话号码	電話號碼					
CommonCityName	City Name	城市	城市					
CommonZipCode	Zip Code	邮政编码	郵政編碼					
CommonContinue	Continue	下一步	下一步					
CheckoutPaySuccess	Your payment is succesfull. An order is created	付款成功，您的订单已下	付款成功，您的訂單已下					
CheckoutPayFail	Your payment is failed	付款失败	付款失敗					
CommonOk	Ok	好的	好的					
CommonBack	Back	上一步	上一步					
CommonShipping	Shipping	船运	船運					
CommonPayment	Pay	付款	付款					
CommonQuantity	Quantity	数量	數量					
CommonPaymentStatus	Payment Status	通知	通知					
CommonLogout	Log Out	登出	登出					
CommonSearch	Search	搜索	搜索					
SearchFor	Search for..	搜索..	搜索..					
OrderUnpaid	Unpaid	未付款	未付款					
OrderProcessing	Processing	待运中	待運中					
OrderCompleted	Completed	已收货	已收貨					
MLTVIntro	Fascinating programs featuring cultural & intriguing episodes	引人入胜的节目，并以文化和有趣的情节为特色	 引人入勝的節目，並以文化和有趣的情節為特色					
EventListingLiveDescription	Devotion made easy. Virtually particpate in ritual & festives.	线上参加文化仪式以及传统节日，让供奉与祈福变得供简易	線上參加文化儀式以及傳統節日，讓供奉與祈福變得供簡易"					
EventListingUpcomingDescription	Devotion made easy. Virtually particpate in ritual & festives.	线上参加文化仪式以及传统节日，让供奉与祈福变得供简易	 線上參加文化儀式以及傳統節日，讓供奉與祈福變得供簡易					
EventListingPastDescription	Devotion made easy. Virtually particpate in ritual & festives.	线上参加文化仪式以及传统节日，让供奉与祈福变得供简易	 線上參加文化儀式以及傳統節日，讓供奉與祈福變得供簡易					
CommonAccount	Account	账号	賬號					
AboutMingLi360	About MingLi360	关于 命理360	關於 命理360					
TermsAndCondition	Terms and condition	条规与协议	條規與協議					
Default	Default	已选	已選					
PreferredLanguage	Your preferred \nlanguage	您的语言	您的語言					
CommonAccountInformation	Account Information	账号信息	賬號信息					
TrendingItems	Trending Items	热搜商品	熱搜商品					
HappeningNow	Happening Now	正在进行	正在進行					